"","country_name","country_code","country_region","year","population_with_mental_disorders","minutes_on_social_media","gdp","total_population"
"1","United Arab Emirates","ARE","Middle East & North Africa",2012,0.147165905722663,141,384610125384.033,8664969
"2","United Arab Emirates","ARE","Middle East & North Africa",2013,0.147930808887302,149,400218529747.597,8751847
"3","United Arab Emirates","ARE","Middle East & North Africa",2014,0.148646711914881,168,414105366758.911,8835951
"4","United Arab Emirates","ARE","Middle East & North Africa",2015,0.149247265251843,181,370275469560.166,8916899
"5","United Arab Emirates","ARE","Middle East & North Africa",2016,0.149311271066714,204,369255326235.771,8994263
"6","United Arab Emirates","ARE","Middle East & North Africa",2017,0.149426118585694,176,390516804016.501,9068296
"7","United Arab Emirates","ARE","Middle East & North Africa",2018,0.149859309887341,180,427049432149.345,9140169
"8","United Arab Emirates","ARE","Middle East & North Africa",2019,0.150651113255624,191,417989721734.494,9211657
"9","Argentina","ARG","Latin America & Caribbean",2012,0.162479868708058,162,545982375701.128,41733271
"10","Argentina","ARG","Latin America & Caribbean",2013,0.162660810844763,169,552025140252.246,42202935
"11","Argentina","ARG","Latin America & Caribbean",2014,0.162806943072354,170,526319673731.638,42669500
"12","Argentina","ARG","Latin America & Caribbean",2015,0.162957562910167,193,594749285413.212,43131966
"13","Argentina","ARG","Latin America & Caribbean",2016,0.163118155593554,211,557531376217.967,43590368
"14","Argentina","ARG","Latin America & Caribbean",2017,0.163191576418468,192,643628665302.155,44044811
"15","Argentina","ARG","Latin America & Caribbean",2018,0.163234475415864,197,524819742918.669,44494502
"16","Argentina","ARG","Latin America & Caribbean",2019,0.163165259663629,207,447754609218.678,44938712
"17","Australia","AUS","East Asia & Pacific",2012,0.236975221393315,75,1546892142709.84,22733465
"18","Australia","AUS","East Asia & Pacific",2013,0.235855421263028,73,1576380424746.08,23128129
"19","Australia","AUS","East Asia & Pacific",2014,0.234832719570697,71,1467545212521.8,23475686
"20","Australia","AUS","East Asia & Pacific",2015,0.23427602327662,70,1350615691821.28,23815995
"21","Australia","AUS","East Asia & Pacific",2016,0.235399457292911,96,1206535157956.03,24190907
"22","Australia","AUS","East Asia & Pacific",2017,0.236717057726277,99,1326516328531.56,24594202
"23","Australia","AUS","East Asia & Pacific",2018,0.237006800655012,94,1428288504767.07,24966643
"24","Australia","AUS","East Asia & Pacific",2019,0.237617413296037,103,1392227864397.08,25340217
"25","Austria","AUT","Europe & Central Asia",2012,0.176194460436038,NA,409401816050.531,8429991
